Class,Subject,Chapter,Question,Option A,Option B,Option C,Option D,Correct Option,Difficulty
12,Biology,Reproductive Health,Variant 2: Which of the following primarily acts by creating a physical barrier between sperm and ovum?,Oral pills (like Saheli),Copper-releasing IUDs,Tubectomy,Condoms,D,moderate
12,Biology,Reproductive Health,Variant 3: Which of the following primarily acts by creating a physical barrier between sperm and ovum?,Condoms,Hormone-releasing IUDs,Vasectomy,Copper-releasing IUDs,A,moderate
12,Biology,Reproductive Health,Variant 4: Which of the following primarily acts by creating a physical barrier between sperm and ovum?,Hormone-releasing IUDs,Condoms,Oral pills (like Saheli),Copper-releasing IUDs,B,moderate
12,Biology,Reproductive Health,Variant 5: Which of the following primarily acts by creating a physical barrier between sperm and ovum?,Condoms,Copper-releasing IUDs,Hormone-releasing IUDs,Vasectomy,A,moderate
12,Biology,Reproductive Health,Variant 6: Which of the following primarily acts by creating a physical barrier between sperm and ovum?,Copper-releasing IUDs,Condoms,Oral pills (like Saheli),Hormone-releasing IUDs,B,moderate
12,Biology,Reproductive Health,Variant 7: Which of the following primarily acts by creating a physical barrier between sperm and ovum?,Hormone-releasing IUDs,Condoms,Tubectomy,Oral pills (like Saheli),B,moderate
12,Biology,Reproductive Health,Variant 8: Which of the following primarily acts by creating a physical barrier between sperm and ovum?,Vasectomy,Tubectomy,Oral pills (like Saheli),Condoms,D,moderate
12,Biology,Reproductive Health,Variant 9: Which of the following primarily acts by creating a physical barrier between sperm and ovum?,Oral pills (like Saheli),Vasectomy,Condoms,Hormone-releasing IUDs,C,moderate
12,Biology,Reproductive Health,Variant 10: Which of the following primarily acts by creating a physical barrier between sperm and ovum?,Hormone-releasing IUDs,Oral pills (like Saheli),Condoms,Copper-releasing IUDs,C,moderate
12,Biology,Reproductive Health,Variant 1: Which of the following primarily acts by blocking gamete transport via vas deferens?,Hormone-releasing IUDs,Oral pills (like Saheli),Vasectomy,Condoms,C,moderate
12,Biology,Reproductive Health,Variant 2: Which of the following primarily acts by blocking gamete transport via vas deferens?,Tubectomy,Vasectomy,Condoms,Hormone-releasing IUDs,B,moderate
12,Biology,Reproductive Health,Variant 3: Which of the following primarily acts by blocking gamete transport via vas deferens?,Tubectomy,Vasectomy,Condoms,Oral pills (like Saheli),B,moderate
12,Biology,Reproductive Health,Variant 4: Which of the following primarily acts by blocking gamete transport via vas deferens?,Tubectomy,Vasectomy,Hormone-releasing IUDs,Condoms,B,moderate
12,Biology,Reproductive Health,Variant 5: Which of the following primarily acts by blocking gamete transport via vas deferens?,Hormone-releasing IUDs,Vasectomy,Oral pills (like Saheli),Tubectomy,B,moderate
12,Biology,Reproductive Health,Variant 6: Which of the following primarily acts by blocking gamete transport via vas deferens?,Copper-releasing IUDs,Tubectomy,Vasectomy,Oral pills (like Saheli),C,moderate
12,Biology,Reproductive Health,Variant 7: Which of the following primarily acts by blocking gamete transport via vas deferens?,Condoms,Hormone-releasing IUDs,Vasectomy,Oral pills (like Saheli),C,moderate
12,Biology,Reproductive Health,Variant 8: Which of the following primarily acts by blocking gamete transport via vas deferens?,Oral pills (like Saheli),Hormone-releasing IUDs,Vasectomy,Tubectomy,C,moderate
12,Biology,Reproductive Health,Variant 9: Which of the following primarily acts by blocking gamete transport via vas deferens?,Vasectomy,Condoms,Copper-releasing IUDs,Hormone-releasing IUDs,A,moderate
12,Biology,Reproductive Health,Variant 10: Which of the following primarily acts by blocking gamete transport via vas deferens?,Tubectomy,Condoms,Oral pills (like Saheli),Vasectomy,D,moderate
12,Biology,Reproductive Health,Variant 1: Which of the following primarily acts by blocking gamete transport via fallopian tubes?,Tubectomy,Condoms,Hormone-releasing IUDs,Copper-releasing IUDs,A,moderate
12,Biology,Reproductive Health,Variant 2: Which of the following primarily acts by blocking gamete transport via fallopian tubes?,Oral pills (like Saheli),Tubectomy,Condoms,Copper-releasing IUDs,B,moderate
12,Biology,Reproductive Health,Variant 3: Which of the following primarily acts by blocking gamete transport via fallopian tubes?,Condoms,Oral pills (like Saheli),Tubectomy,Hormone-releasing IUDs,C,moderate
12,Biology,Reproductive Health,Variant 4: Which of the following primarily acts by blocking gamete transport via fallopian tubes?,Vasectomy,Tubectomy,Oral pills (like Saheli),Hormone-releasing IUDs,B,moderate
12,Biology,Reproductive Health,Variant 5: Which of the following primarily acts by blocking gamete transport via fallopian tubes?,Vasectomy,Tubectomy,Hormone-releasing IUDs,Oral pills (like Saheli),B,moderate
12,Biology,Reproductive Health,Variant 6: Which of the following primarily acts by blocking gamete transport via fallopian tubes?,Hormone-releasing IUDs,Tubectomy,Condoms,Oral pills (like Saheli),B,moderate
12,Biology,Reproductive Health,Variant 7: Which of the following primarily acts by blocking gamete transport via fallopian tubes?,Vasectomy,Copper-releasing IUDs,Hormone-releasing IUDs,Tubectomy,D,moderate
12,Biology,Reproductive Health,Variant 8: Which of the following primarily acts by blocking gamete transport via fallopian tubes?,Tubectomy,Condoms,Vasectomy,Hormone-releasing IUDs,A,moderate
12,Biology,Reproductive Health,Variant 9: Which of the following primarily acts by blocking gamete transport via fallopian tubes?,Oral pills (like Saheli),Copper-releasing IUDs,Tubectomy,Condoms,C,moderate
12,Biology,Reproductive Health,Variant 10: Which of the following primarily acts by blocking gamete transport via fallopian tubes?,Oral pills (like Saheli),Tubectomy,Hormone-releasing IUDs,Vasectomy,B,moderate
12,Biology,Reproductive Health,Review Question 1: What was the population of India at the time of independence in 1947?,Around 100 million,Approximately 350 million,About 1 billion,Over 2 billion,B,easy
12,Biology,Reproductive Health,Review Question 2: What was the population of India at the time of independence in 1947?,Over 2 billion,Approximately 350 million,Around 100 million,About 1 billion,B,easy
12,Biology,Reproductive Health,Review Question 3: What was the population of India at the time of independence in 1947?,Around 100 million,Over 2 billion,Approximately 350 million,About 1 billion,C,easy
12,Biology,Reproductive Health,Review Question 4: What was the population of India at the time of independence in 1947?,Over 2 billion,Around 100 million,About 1 billion,Approximately 350 million,D,easy
12,Biology,Reproductive Health,Review Question 5: What was the population of India at the time of independence in 1947?,Approximately 350 million,Around 100 million,About 1 billion,Over 2 billion,A,easy
12,Biology,Reproductive Health,Review Question 1: What did the population of India cross by May 2000?,500 million,350 million,2 billion,1 billion,D,easy
12,Biology,Reproductive Health,Review Question 2: What did the population of India cross by May 2000?,500 million,350 million,1 billion,2 billion,C,easy
12,Biology,Reproductive Health,Review Question 3: What did the population of India cross by May 2000?,2 billion,500 million,350 million,1 billion,D,easy
12,Biology,Reproductive Health,Review Question 4: What did the population of India cross by May 2000?,1 billion,500 million,350 million,2 billion,A,easy
12,Biology,Reproductive Health,Review Question 5: What did the population of India cross by May 2000?,500 million,2 billion,1 billion,350 million,C,easy
12,Biology,Reproductive Health,"Review Question 1: What is the primary reason for the rapid decline in death rate, MMR and IMR?",Better awareness and healthcare facilities,Increased birth rate,Natural selection,Lack of medical care,A,easy
12,Biology,Reproductive Health,"Review Question 2: What is the primary reason for the rapid decline in death rate, MMR and IMR?",Increased birth rate,Natural selection,Lack of medical care,Better awareness and healthcare facilities,D,easy
12,Biology,Reproductive Health,"Review Question 3: What is the primary reason for the rapid decline in death rate, MMR and IMR?",Increased birth rate,Better awareness and healthcare facilities,Natural selection,Lack of medical care,B,easy
12,Biology,Reproductive Health,"Review Question 4: What is the primary reason for the rapid decline in death rate, MMR and IMR?",Better awareness and healthcare facilities,Increased birth rate,Natural selection,Lack of medical care,A,easy
12,Biology,Reproductive Health,"Review Question 5: What is the primary reason for the rapid decline in death rate, MMR and IMR?",Lack of medical care,Natural selection,Increased birth rate,Better awareness and healthcare facilities,D,easy
12,Biology,Reproductive Health,"Review Question 1: According to the 2011 census report, the population growth rate was:",Negative,Exactly 5 per cent,Less than 2 per cent,Over 10 per cent,C,easy
12,Biology,Reproductive Health,"Review Question 2: According to the 2011 census report, the population growth rate was:",Over 10 per cent,Exactly 5 per cent,Less than 2 per cent,Negative,C,easy
12,Biology,Reproductive Health,"Review Question 3: According to the 2011 census report, the population growth rate was:",Over 10 per cent,Exactly 5 per cent,Negative,Less than 2 per cent,D,easy
12,Biology,Reproductive Health,"Review Question 4: According to the 2011 census report, the population growth rate was:",Negative,Less than 2 per cent,Exactly 5 per cent,Over 10 per cent,B,easy
12,Biology,Reproductive Health,"Review Question 5: According to the 2011 census report, the population growth rate was:",Negative,Over 10 per cent,Less than 2 per cent,Exactly 5 per cent,C,easy
12,Biology,Reproductive Health,Review Question 1: Which of the following is a non-steroidal oral contraceptive pill?,Saheli,LNG-20,Mala-D,Progestasert,A,easy
12,Biology,Reproductive Health,Review Question 2: Which of the following is a non-steroidal oral contraceptive pill?,Saheli,LNG-20,Progestasert,Mala-D,A,easy
12,Biology,Reproductive Health,Review Question 3: Which of the following is a non-steroidal oral contraceptive pill?,Saheli,Mala-D,Progestasert,LNG-20,A,easy
12,Biology,Reproductive Health,Review Question 4: Which of the following is a non-steroidal oral contraceptive pill?,Mala-D,LNG-20,Saheli,Progestasert,C,easy
12,Biology,Reproductive Health,Review Question 5: Which of the following is a non-steroidal oral contraceptive pill?,LNG-20,Progestasert,Saheli,Mala-D,C,easy
12,Biology,Reproductive Health,"Q-ID-207: Regarding the sexually transmitted infection 'Syphilis', what is an important preventive measure for a healthy society?",Using condoms during coitus and avoiding unknown partners.,Sharing infected needles.,Using copper IUDs.,Avoiding vaccination.,A,easy
12,Biology,Reproductive Health,"Q-ID-208: Regarding the sexually transmitted infection 'Gonorrhea', what is an important preventive measure for a healthy society?",Sharing infected needles.,Avoiding vaccination.,Using condoms during coitus and avoiding unknown partners.,Using copper IUDs.,C,easy
12,Biology,Reproductive Health,"Q-ID-209: Regarding the sexually transmitted infection 'Gonorrhea', what is an important preventive measure for a healthy society?",Avoiding vaccination.,Using condoms during coitus and avoiding unknown partners.,Using copper IUDs.,Sharing infected needles.,B,easy
12,Biology,Reproductive Health,"Q-ID-210: Regarding the sexually transmitted infection 'Syphilis', what is an important preventive measure for a healthy society?",Avoiding vaccination.,Using condoms during coitus and avoiding unknown partners.,Using copper IUDs.,Sharing infected needles.,B,easy
12,Biology,Reproductive Health,"Q-ID-211: Regarding the sexually transmitted infection 'HIV/AIDS', what is an important preventive measure for a healthy society?",Using copper IUDs.,Using condoms during coitus and avoiding unknown partners.,Avoiding vaccination.,Sharing infected needles.,B,easy
12,Biology,Reproductive Health,"Q-ID-212: Regarding the sexually transmitted infection 'Chlamydiasis', what is an important preventive measure for a healthy society?",Avoiding vaccination.,Using condoms during coitus and avoiding unknown partners.,Using copper IUDs.,Sharing infected needles.,B,easy
12,Biology,Reproductive Health,"Q-ID-213: Regarding the sexually transmitted infection 'Trichomoniasis', what is an important preventive measure for a healthy society?",Sharing infected needles.,Avoiding vaccination.,Using condoms during coitus and avoiding unknown partners.,Using copper IUDs.,C,easy
12,Biology,Reproductive Health,"Q-ID-214: Regarding the sexually transmitted infection 'Syphilis', what is an important preventive measure for a healthy society?",Using condoms during coitus and avoiding unknown partners.,Avoiding vaccination.,Using copper IUDs.,Sharing infected needles.,A,easy
12,Biology,Reproductive Health,"Q-ID-215: Regarding the sexually transmitted infection 'Syphilis', what is an important preventive measure for a healthy society?",Sharing infected needles.,Using condoms during coitus and avoiding unknown partners.,Avoiding vaccination.,Using copper IUDs.,B,easy
12,Biology,Reproductive Health,"Q-ID-216: Regarding the sexually transmitted infection 'HIV/AIDS', what is an important preventive measure for a healthy society?",Avoiding vaccination.,Using condoms during coitus and avoiding unknown partners.,Using copper IUDs.,Sharing infected needles.,B,easy
12,Biology,Reproductive Health,"Q-ID-217: Regarding the sexually transmitted infection 'HIV/AIDS', what is an important preventive measure for a healthy society?",Using condoms during coitus and avoiding unknown partners.,Avoiding vaccination.,Using copper IUDs.,Sharing infected needles.,A,easy
12,Biology,Reproductive Health,"Q-ID-218: Regarding the sexually transmitted infection 'Gonorrhea', what is an important preventive measure for a healthy society?",Using copper IUDs.,Sharing infected needles.,Using condoms during coitus and avoiding unknown partners.,Avoiding vaccination.,C,easy
12,Biology,Reproductive Health,"Q-ID-219: Regarding the sexually transmitted infection 'Trichomoniasis', what is an important preventive measure for a healthy society?",Avoiding vaccination.,Sharing infected needles.,Using condoms during coitus and avoiding unknown partners.,Using copper IUDs.,C,easy
12,Biology,Reproductive Health,"Q-ID-220: Regarding the sexually transmitted infection 'Genital herpes', what is an important preventive measure for a healthy society?",Using copper IUDs.,Using condoms during coitus and avoiding unknown partners.,Sharing infected needles.,Avoiding vaccination.,B,easy
12,Biology,Reproductive Health,"Q-ID-221: Regarding the sexually transmitted infection 'Gonorrhea', what is an important preventive measure for a healthy society?",Sharing infected needles.,Using condoms during coitus and avoiding unknown partners.,Avoiding vaccination.,Using copper IUDs.,B,easy
12,Biology,Reproductive Health,"Q-ID-222: Regarding the sexually transmitted infection 'Hepatitis-B', what is an important preventive measure for a healthy society?",Sharing infected needles.,Using condoms during coitus and avoiding unknown partners.,Using copper IUDs.,Avoiding vaccination.,B,easy
12,Biology,Reproductive Health,"Q-ID-223: Regarding the sexually transmitted infection 'Genital warts', what is an important preventive measure for a healthy society?",Avoiding vaccination.,Using condoms during coitus and avoiding unknown partners.,Using copper IUDs.,Sharing infected needles.,B,easy
12,Biology,Reproductive Health,"Q-ID-224: Regarding the sexually transmitted infection 'Trichomoniasis', what is an important preventive measure for a healthy society?",Avoiding vaccination.,Using condoms during coitus and avoiding unknown partners.,Using copper IUDs.,Sharing infected needles.,B,easy
12,Biology,Reproductive Health,"Q-ID-225: Regarding the sexually transmitted infection 'Syphilis', what is an important preventive measure for a healthy society?",Using condoms during coitus and avoiding unknown partners.,Avoiding vaccination.,Using copper IUDs.,Sharing infected needles.,A,easy
12,Biology,Reproductive Health,"Q-ID-226: Regarding the sexually transmitted infection 'HIV/AIDS', what is an important preventive measure for a healthy society?",Avoiding vaccination.,Using copper IUDs.,Sharing infected needles.,Using condoms during coitus and avoiding unknown partners.,D,easy
12,Biology,Reproductive Health,"Q-ID-227: Regarding the sexually transmitted infection 'Genital herpes', what is an important preventive measure for a healthy society?",Using copper IUDs.,Using condoms during coitus and avoiding unknown partners.,Avoiding vaccination.,Sharing infected needles.,B,easy
12,Biology,Reproductive Health,"Q-ID-228: Regarding the sexually transmitted infection 'Hepatitis-B', what is an important preventive measure for a healthy society?",Using copper IUDs.,Using condoms during coitus and avoiding unknown partners.,Avoiding vaccination.,Sharing infected needles.,B,easy
12,Biology,Reproductive Health,"Q-ID-229: Regarding the sexually transmitted infection 'Genital warts', what is an important preventive measure for a healthy society?",Avoiding vaccination.,Sharing infected needles.,Using condoms during coitus and avoiding unknown partners.,Using copper IUDs.,C,easy
12,Biology,Reproductive Health,"Q-ID-230: Regarding the sexually transmitted infection 'HIV/AIDS', what is an important preventive measure for a healthy society?",Avoiding vaccination.,Using condoms during coitus and avoiding unknown partners.,Sharing infected needles.,Using copper IUDs.,B,easy
12,Biology,Reproductive Health,"Q-ID-231: Regarding the sexually transmitted infection 'HIV/AIDS', what is an important preventive measure for a healthy society?",Sharing infected needles.,Avoiding vaccination.,Using condoms during coitus and avoiding unknown partners.,Using copper IUDs.,C,easy
12,Biology,Reproductive Health,"Q-ID-232: Regarding the sexually transmitted infection 'Gonorrhea', what is an important preventive measure for a healthy society?",Using condoms during coitus and avoiding unknown partners.,Sharing infected needles.,Avoiding vaccination.,Using copper IUDs.,A,easy
12,Biology,Reproductive Health,"Q-ID-233: Regarding the sexually transmitted infection 'Chlamydiasis', what is an important preventive measure for a healthy society?",Sharing infected needles.,Avoiding vaccination.,Using condoms during coitus and avoiding unknown partners.,Using copper IUDs.,C,easy
12,Biology,Reproductive Health,"Q-ID-234: Regarding the sexually transmitted infection 'Trichomoniasis', what is an important preventive measure for a healthy society?",Using copper IUDs.,Sharing infected needles.,Using condoms during coitus and avoiding unknown partners.,Avoiding vaccination.,C,easy
12,Biology,Reproductive Health,"Q-ID-235: Regarding the sexually transmitted infection 'Gonorrhea', what is an important preventive measure for a healthy society?",Avoiding vaccination.,Using condoms during coitus and avoiding unknown partners.,Using copper IUDs.,Sharing infected needles.,B,easy
12,Biology,Reproductive Health,"Q-ID-236: Regarding the sexually transmitted infection 'Genital herpes', what is an important preventive measure for a healthy society?",Using copper IUDs.,Avoiding vaccination.,Using condoms during coitus and avoiding unknown partners.,Sharing infected needles.,C,easy
12,Biology,Reproductive Health,"Q-ID-237: Regarding the sexually transmitted infection 'Genital herpes', what is an important preventive measure for a healthy society?",Using condoms during coitus and avoiding unknown partners.,Using copper IUDs.,Sharing infected needles.,Avoiding vaccination.,A,easy
12,Biology,Reproductive Health,"Q-ID-238: Regarding the sexually transmitted infection 'Syphilis', what is an important preventive measure for a healthy society?",Using condoms during coitus and avoiding unknown partners.,Avoiding vaccination.,Using copper IUDs.,Sharing infected needles.,A,easy
12,Biology,Reproductive Health,"Q-ID-239: Regarding the sexually transmitted infection 'Genital herpes', what is an important preventive measure for a healthy society?",Sharing infected needles.,Using condoms during coitus and avoiding unknown partners.,Avoiding vaccination.,Using copper IUDs.,B,easy
12,Biology,Reproductive Health,"Q-ID-240: Regarding the sexually transmitted infection 'Hepatitis-B', what is an important preventive measure for a healthy society?",Using condoms during coitus and avoiding unknown partners.,Using copper IUDs.,Avoiding vaccination.,Sharing infected needles.,A,easy
12,Biology,Reproductive Health,"Q-ID-241: Regarding the sexually transmitted infection 'Gonorrhea', what is an important preventive measure for a healthy society?",Sharing infected needles.,Avoiding vaccination.,Using condoms during coitus and avoiding unknown partners.,Using copper IUDs.,C,easy
12,Biology,Reproductive Health,"Q-ID-242: Regarding the sexually transmitted infection 'Syphilis', what is an important preventive measure for a healthy society?",Sharing infected needles.,Using copper IUDs.,Using condoms during coitus and avoiding unknown partners.,Avoiding vaccination.,C,easy
12,Biology,Reproductive Health,"Q-ID-243: Regarding the sexually transmitted infection 'Trichomoniasis', what is an important preventive measure for a healthy society?",Using copper IUDs.,Sharing infected needles.,Using condoms during coitus and avoiding unknown partners.,Avoiding vaccination.,C,easy
12,Biology,Reproductive Health,"Q-ID-244: Regarding the sexually transmitted infection 'Chlamydiasis', what is an important preventive measure for a healthy society?",Avoiding vaccination.,Sharing infected needles.,Using copper IUDs.,Using condoms during coitus and avoiding unknown partners.,D,easy
12,Biology,Reproductive Health,"Q-ID-245: Regarding the sexually transmitted infection 'Genital warts', what is an important preventive measure for a healthy society?",Using condoms during coitus and avoiding unknown partners.,Avoiding vaccination.,Sharing infected needles.,Using copper IUDs.,A,easy
12,Biology,Reproductive Health,"Q-ID-246: Regarding the sexually transmitted infection 'Gonorrhea', what is an important preventive measure for a healthy society?",Using copper IUDs.,Sharing infected needles.,Using condoms during coitus and avoiding unknown partners.,Avoiding vaccination.,C,easy
12,Biology,Reproductive Health,"Q-ID-247: Regarding the sexually transmitted infection 'Genital warts', what is an important preventive measure for a healthy society?",Using condoms during coitus and avoiding unknown partners.,Sharing infected needles.,Avoiding vaccination.,Using copper IUDs.,A,easy
12,Biology,Reproductive Health,"Q-ID-248: Regarding the sexually transmitted infection 'Syphilis', what is an important preventive measure for a healthy society?",Avoiding vaccination.,Sharing infected needles.,Using condoms during coitus and avoiding unknown partners.,Using copper IUDs.,C,easy
12,Biology,Reproductive Health,"Q-ID-249: Regarding the sexually transmitted infection 'HIV/AIDS', what is an important preventive measure for a healthy society?",Using condoms during coitus and avoiding unknown partners.,Avoiding vaccination.,Sharing infected needles.,Using copper IUDs.,A,easy
12,Biology,Reproductive Health,"Q-ID-250: Regarding the sexually transmitted infection 'Genital warts', what is an important preventive measure for a healthy society?",Avoiding vaccination.,Sharing infected needles.,Using condoms during coitus and avoiding unknown partners.,Using copper IUDs.,C,easy
12,Biology,Reproductive Health,"Q-ID-251: Regarding the sexually transmitted infection 'HIV/AIDS', what is an important preventive measure for a healthy society?",Avoiding vaccination.,Sharing infected needles.,Using condoms during coitus and avoiding unknown partners.,Using copper IUDs.,C,easy
12,Biology,Reproductive Health,"Q-ID-252: Regarding the sexually transmitted infection 'Gonorrhea', what is an important preventive measure for a healthy society?",Avoiding vaccination.,Using condoms during coitus and avoiding unknown partners.,Using copper IUDs.,Sharing infected needles.,B,easy
12,Biology,Reproductive Health,"Q-ID-253: Regarding the sexually transmitted infection 'Hepatitis-B', what is an important preventive measure for a healthy society?",Sharing infected needles.,Using copper IUDs.,Using condoms during coitus and avoiding unknown partners.,Avoiding vaccination.,C,easy
12,Biology,Reproductive Health,"Q-ID-254: Regarding the sexually transmitted infection 'Genital herpes', what is an important preventive measure for a healthy society?",Using copper IUDs.,Sharing infected needles.,Avoiding vaccination.,Using condoms during coitus and avoiding unknown partners.,D,easy
12,Biology,Reproductive Health,"Q-ID-255: Regarding the sexually transmitted infection 'Genital warts', what is an important preventive measure for a healthy society?",Using condoms during coitus and avoiding unknown partners.,Using copper IUDs.,Avoiding vaccination.,Sharing infected needles.,A,easy
12,Biology,Reproductive Health,"Q-ID-256: Regarding the sexually transmitted infection 'Chlamydiasis', what is an important preventive measure for a healthy society?",Sharing infected needles.,Using condoms during coitus and avoiding unknown partners.,Avoiding vaccination.,Using copper IUDs.,B,easy
12,Biology,Reproductive Health,"Q-ID-257: Regarding the sexually transmitted infection 'Genital herpes', what is an important preventive measure for a healthy society?",Using condoms during coitus and avoiding unknown partners.,Avoiding vaccination.,Sharing infected needles.,Using copper IUDs.,A,easy
12,Biology,Reproductive Health,"Q-ID-258: Regarding the sexually transmitted infection 'Chlamydiasis', what is an important preventive measure for a healthy society?",Sharing infected needles.,Using copper IUDs.,Avoiding vaccination.,Using condoms during coitus and avoiding unknown partners.,D,easy
12,Biology,Reproductive Health,"Q-ID-259: Regarding the sexually transmitted infection 'Trichomoniasis', what is an important preventive measure for a healthy society?",Avoiding vaccination.,Sharing infected needles.,Using copper IUDs.,Using condoms during coitus and avoiding unknown partners.,D,easy
12,Biology,Reproductive Health,"Q-ID-260: Regarding the sexually transmitted infection 'Genital herpes', what is an important preventive measure for a healthy society?",Using condoms during coitus and avoiding unknown partners.,Avoiding vaccination.,Sharing infected needles.,Using copper IUDs.,A,easy
12,Biology,Reproductive Health,"Q-ID-261: Regarding the sexually transmitted infection 'Gonorrhea', what is an important preventive measure for a healthy society?",Using copper IUDs.,Avoiding vaccination.,Using condoms during coitus and avoiding unknown partners.,Sharing infected needles.,C,easy
12,Biology,Reproductive Health,"Q-ID-262: Regarding the sexually transmitted infection 'Hepatitis-B', what is an important preventive measure for a healthy society?",Sharing infected needles.,Using condoms during coitus and avoiding unknown partners.,Using copper IUDs.,Avoiding vaccination.,B,easy
12,Biology,Reproductive Health,"Q-ID-263: Regarding the sexually transmitted infection 'Hepatitis-B', what is an important preventive measure for a healthy society?",Using condoms during coitus and avoiding unknown partners.,Using copper IUDs.,Avoiding vaccination.,Sharing infected needles.,A,easy
12,Biology,Reproductive Health,"Q-ID-264: Regarding the sexually transmitted infection 'Syphilis', what is an important preventive measure for a healthy society?",Sharing infected needles.,Using condoms during coitus and avoiding unknown partners.,Using copper IUDs.,Avoiding vaccination.,B,easy
12,Biology,Reproductive Health,"Q-ID-265: Regarding the sexually transmitted infection 'Genital warts', what is an important preventive measure for a healthy society?",Sharing infected needles.,Avoiding vaccination.,Using copper IUDs.,Using condoms during coitus and avoiding unknown partners.,D,easy
12,Biology,Reproductive Health,"Q-ID-266: Regarding the sexually transmitted infection 'Genital warts', what is an important preventive measure for a healthy society?",Using copper IUDs.,Sharing infected needles.,Avoiding vaccination.,Using condoms during coitus and avoiding unknown partners.,D,easy
12,Biology,Reproductive Health,"Q-ID-267: Regarding the sexually transmitted infection 'Genital herpes', what is an important preventive measure for a healthy society?",Using copper IUDs.,Using condoms during coitus and avoiding unknown partners.,Sharing infected needles.,Avoiding vaccination.,B,easy
12,Biology,Reproductive Health,"Q-ID-268: Regarding the sexually transmitted infection 'Genital warts', what is an important preventive measure for a healthy society?",Using copper IUDs.,Using condoms during coitus and avoiding unknown partners.,Sharing infected needles.,Avoiding vaccination.,B,easy
12,Biology,Reproductive Health,"Q-ID-269: Regarding the sexually transmitted infection 'Genital herpes', what is an important preventive measure for a healthy society?",Using condoms during coitus and avoiding unknown partners.,Avoiding vaccination.,Sharing infected needles.,Using copper IUDs.,A,easy
12,Biology,Reproductive Health,"Q-ID-270: Regarding the sexually transmitted infection 'Genital herpes', what is an important preventive measure for a healthy society?",Using condoms during coitus and avoiding unknown partners.,Using copper IUDs.,Sharing infected needles.,Avoiding vaccination.,A,easy
12,Biology,Reproductive Health,"Q-ID-271: Regarding the sexually transmitted infection 'Genital warts', what is an important preventive measure for a healthy society?",Sharing infected needles.,Using copper IUDs.,Using condoms during coitus and avoiding unknown partners.,Avoiding vaccination.,C,easy
12,Biology,Reproductive Health,"Q-ID-272: Regarding the sexually transmitted infection 'HIV/AIDS', what is an important preventive measure for a healthy society?",Sharing infected needles.,Using condoms during coitus and avoiding unknown partners.,Using copper IUDs.,Avoiding vaccination.,B,easy
12,Biology,Reproductive Health,"Q-ID-273: Regarding the sexually transmitted infection 'Syphilis', what is an important preventive measure for a healthy society?",Using copper IUDs.,Using condoms during coitus and avoiding unknown partners.,Sharing infected needles.,Avoiding vaccination.,B,easy
12,Biology,Reproductive Health,"Q-ID-274: Regarding the sexually transmitted infection 'Hepatitis-B', what is an important preventive measure for a healthy society?",Using copper IUDs.,Sharing infected needles.,Avoiding vaccination.,Using condoms during coitus and avoiding unknown partners.,D,easy
12,Biology,Reproductive Health,"Q-ID-275: Regarding the sexually transmitted infection 'Trichomoniasis', what is an important preventive measure for a healthy society?",Using copper IUDs.,Sharing infected needles.,Avoiding vaccination.,Using condoms during coitus and avoiding unknown partners.,D,easy
12,Biology,Reproductive Health,"Q-ID-276: Regarding the sexually transmitted infection 'Syphilis', what is an important preventive measure for a healthy society?",Using condoms during coitus and avoiding unknown partners.,Sharing infected needles.,Avoiding vaccination.,Using copper IUDs.,A,easy
12,Biology,Reproductive Health,"Q-ID-277: Regarding the sexually transmitted infection 'Syphilis', what is an important preventive measure for a healthy society?",Sharing infected needles.,Avoiding vaccination.,Using condoms during coitus and avoiding unknown partners.,Using copper IUDs.,C,easy
12,Biology,Reproductive Health,"Q-ID-278: Regarding the sexually transmitted infection 'Trichomoniasis', what is an important preventive measure for a healthy society?",Using copper IUDs.,Avoiding vaccination.,Using condoms during coitus and avoiding unknown partners.,Sharing infected needles.,C,easy
12,Biology,Reproductive Health,"Q-ID-279: Regarding the sexually transmitted infection 'Gonorrhea', what is an important preventive measure for a healthy society?",Avoiding vaccination.,Using condoms during coitus and avoiding unknown partners.,Using copper IUDs.,Sharing infected needles.,B,easy
12,Biology,Reproductive Health,"Q-ID-280: Regarding the sexually transmitted infection 'Genital herpes', what is an important preventive measure for a healthy society?",Using copper IUDs.,Sharing infected needles.,Using condoms during coitus and avoiding unknown partners.,Avoiding vaccination.,C,easy
12,Biology,Reproductive Health,"Q-ID-281: Regarding the sexually transmitted infection 'Hepatitis-B', what is an important preventive measure for a healthy society?",Avoiding vaccination.,Sharing infected needles.,Using condoms during coitus and avoiding unknown partners.,Using copper IUDs.,C,easy
12,Biology,Reproductive Health,"Q-ID-282: Regarding the sexually transmitted infection 'HIV/AIDS', what is an important preventive measure for a healthy society?",Sharing infected needles.,Using condoms during coitus and avoiding unknown partners.,Using copper IUDs.,Avoiding vaccination.,B,easy
12,Biology,Reproductive Health,"Q-ID-283: Regarding the sexually transmitted infection 'Hepatitis-B', what is an important preventive measure for a healthy society?",Avoiding vaccination.,Using copper IUDs.,Using condoms during coitus and avoiding unknown partners.,Sharing infected needles.,C,easy
12,Biology,Reproductive Health,"Q-ID-284: Regarding the sexually transmitted infection 'Chlamydiasis', what is an important preventive measure for a healthy society?",Using condoms during coitus and avoiding unknown partners.,Using copper IUDs.,Sharing infected needles.,Avoiding vaccination.,A,easy
